@relation Dataset_persona_comas_res

@attribute Zona {Urbana,Rural}
@attribute Sexo {Hombre,Mujer}
@attribute Edad numeric
@attribute 'Estado Civil' numeric
@attribute Pueblo numeric
@attribute 'Nivel edu' numeric
@attribute Matricula {no,si}
@attribute 'Prox Nivel ed' numeric

@data
Urbana,Hombre,17,1,2,42,si,42
Urbana,Hombre,15,1,2,42,si,42
Urbana,Mujer,7,1,2,13,si,41
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,31,2,2,32,no,0
Urbana,Mujer,30,2,2,32,no,0
Urbana,Hombre,11,1,2,41,si,41
Urbana,Mujer,8,1,2,41,si,41
Urbana,Mujer,39,6,2,32,no,0
Urbana,Mujer,18,1,2,42,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,14,1,2,42,si,42
Urbana,Mujer,3,1,2,0,no,0
Urbana,Hombre,86,2,1,23,no,0
Urbana,Mujer,78,2,1,11,no,0
Urbana,Mujer,53,1,2,23,no,0
Urbana,Hombre,39,3,2,32,no,0
Urbana,Mujer,31,3,2,32,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,26,3,2,32,no,0
Urbana,Mujer,24,3,2,42,no,0
Urbana,Mujer,6,1,2,13,si,41
Urbana,Hombre,34,3,2,22,no,0
Urbana,Mujer,29,3,2,23,no,0
Urbana,Mujer,13,1,2,42,si,42
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,31,2,2,32,no,0
Urbana,Mujer,31,2,2,32,no,0
Urbana,Hombre,12,1,2,41,si,42
Urbana,Mujer,8,1,2,41,si,41
Urbana,Mujer,0,1,3,0,no,0
Urbana,Mujer,32,1,2,32,si,72
Urbana,Hombre,24,1,2,72,no,0
Urbana,Mujer,19,1,2,42,si,72
Urbana,Hombre,24,2,2,77,no,0
Urbana,Mujer,24,2,2,77,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,75,2,1,21,no,0
Urbana,Mujer,75,2,1,21,no,0
Urbana,Hombre,40,2,1,32,no,0
Urbana,Mujer,29,2,1,32,no,0
Urbana,Mujer,1,1,2,0,no,0
